PlayerID,Rank,Damage
15670,#263,"45,766,335,093"
51132,#264,"45,742,817,769"
77533,#265,"45,677,545,973"
66671,#266,"45,502,230,390"
112316,#267,"45,462,363,859"
78193,#268,"45,375,397,686"
79365,#269,"45,267,626,176"
98327,#270,"45,214,767,479"
81041,#271,"45,083,302,238"
76802,#272,"45,076,491,927"
74659,#273,"44,849,577,288"
75585,#274,"44,765,888,437"
66131,#275,"44,347,232,478"
79058,#276,"44,342,972,093"
89877,#277,"44,229,678,280"
81481,#278,"44,031,871,253"
82097,#279,"43,905,170,407"
103673,#280,"43,774,735,896"
78657,#281,"43,638,598,780"
87428,#282,"43,576,605,933"
65799,#283,"43,512,168,641"
58166,#284,"43,275,953,617"
107828,#285,"43,062,790,054"
35920,#286,"43,013,709,896"
41990,#287,"42,980,042,760"
82134,#288,"42,948,033,399"
66205,#289,"42,905,293,657"
80741,#290,"42,902,021,504"
29951,#291,"42,880,503,115"
78802,#292,"42,557,666,384"
94686,#293,"42,462,913,550"
39400,#294,"41,956,674,277"
108081,#295,"41,874,527,795"
79486,#296,"41,276,023,878"
48651,#297,"41,259,859,262"
40740,#298,"41,108,627,752"
21071,#299,"41,020,332,535"
75026,#300,"40,919,232,633"
59841,#301,"40,762,291,349"
78645,#302,"40,190,269,290"
37934,#303,"40,078,165,057"
86268,#304,"39,956,777,866"
95165,#305,"39,852,090,774"
67325,#306,"39,846,337,401"
91844,#307,"39,734,643,570"
79025,#308,"39,724,328,135"
80483,#309,"39,649,771,114"
78463,#310,"39,623,181,121"
43468,#311,"39,486,785,872"
66229,#312,"39,370,454,779"
82567,#313,"39,313,616,050"
79515,#314,"38,986,367,524"
36647,#315,"38,658,394,759"
38370,#316,"38,642,416,704"
92970,#317,"38,337,970,136"
80973,#318,"38,118,181,827"
81149,#319,"37,995,139,835"
92961,#320,"37,700,496,904"
20396,#321,"37,490,295,750"
82051,#322,"37,197,691,944"
79824,#323,"36,878,495,907"
59512,#324,"36,590,111,346"
95017,#325,"36,218,493,933"
21676,#326,"36,144,470,118"
68610,#327,"36,133,875,660"
21480,#328,"35,877,905,392"
